,User,Tweet
14,KevinManjate,"""O Vendedor De Sonhos"" 
Filme top... Muitas reflexões sobre psicologia, suicídio...
https://t.co/KG5F9RJKEH"
15,breatlu,"RT @wzsolano: Não to suportando esse clima de despedida, pensar que esse vai ser o ultimo almoço dos Marino...meudeus eu vou cometer suicíd…"
16,_Anielska,"RT @ma_segov: Belleza femenina, enfermedad y estetización de la muerte.
¿Qué tienen en común la Ofelia de Everett Millais y el heroin chic…"
17,Luixxmatt,Tudo ao redor parece interessante mas minha mente faz tudo parecer uma bosta e falar “ hm que tal se cortar??” “Hm um belo dia para um suicidio né?” Vai a merda mundo ja nasci com a merda do peito fundo agora a bosta de um transtorno de personalidade QUAL O PROXIMO?
18,Kibisbriofita,"Carros
Carros
Carros
Aniversário
Suicidio
Carros
Bolo
Carros https://t.co/CYpRYtqS7y"
19,nicnnie,RT @dobbylovey: yoshi ya no esta pelirrojo hoy hay suicidio masivo
20,augen_ang,"RT @MarcelGarcia_es: En la web de la Oficina de Presupuesto Parlamentario del Gobierno de Canadá encontramos esta tabla. 

En ella vemos un…"
21,malva_999,"Puedo tener bajones fuertes y sentirme super miserable xro no m acuerdo d la última vez q pensé en el suicidio como opción así q cualkiera q esté pasando x ello q sepa q esos pensamientos no son para siempre, todes merecemos estar bn ❤‍🩹"
22,wzsolano,"Não to suportando esse clima de despedida, pensar que esse vai ser o ultimo almoço dos Marino...meudeus eu vou cometer suicídio tchau.
#QuantoMaisVidaMelhor"
23,perritollanero2,"RT @ma_segov: Belleza femenina, enfermedad y estetización de la muerte.
¿Qué tienen en común la Ofelia de Everett Millais y el heroin chic…"
24,Virgini09743445,"RT @AnaAlic18810883: #CarlaoPignatariPautePDL
@rodrigogarcia_ Revogue Decreto 65.021/20 com urgência. Aposentados passando fome e tentando…"
25,kareengoulartt,"qualquer dia o suicídio vem, por que eu não tenho mais saúde mental p isso"
26,CaPsi00845837,"@PoliciaTelde ¿Por qué no se ahonda ni publicitan campañas de prevención del suicidio con la misma vehemencia que se hacen para conducir correctamente? teniendo en cuenta que supone la causa más numerosa de muertes en España, muy por delante de los accidentes de tráfico."
27,katnthony,"@sumnerblair ele sendo um CAVALO com a max só por ela ser uma nova menina no grupo, o mais insuportável de verdade! já estou aqui planejando minha carta de suicídio para ir junto com o steve ele é meu favorito de todos também nao irei aguentar"
28,cattaolmos17,"RT @morasanddez: Hablan de depresión, pero cuando se enteran que un amig@ está mal,lo abandonan en su peor momento. Luego publican sobre la…"
29,teteusccp_,"@Corinthians (  ) Uma vitória do Timão!
(  ) A classificação!
(  ) Fazer a festa na Arena!
(  ) Todas as alternativas!!! 
(X) cometer suicídio se nenhuma das alternativas acima acontecer 

E aí, Timão, qual você escolheu?"
30,PedroChara2,RT @HelenaVillarRT: Casi todo lo que hay que entender sobre Estados Unidos y su suicidio colectivo (que puede ser el de Europa) está en est…
31,ChaconJender,"RT @emerald_gadel: Entonces matar bebes en el vientre es bien visto, igual q intoxicarlos con pornografico regueton, o aplaudir el suicidio…"
32,Cesaartorralbo,@marta_munz @lucsontw @moisonic1120 @luciaacstroo_ @josech494 Gracia a ti sufrí depresión y casi me suicidio
33,saiIormooh,"o menos ruim é WW, esse da viúva negra é tão ruim mas tão ruim que enquanto eu assistia tentei cometer suicídio com um canudinho de refrigerante, enquanto WW só é ruim msm mas não ao ponto de fazer vc querer morrer. https://t.co/OaHl6AxTd8"
34,vdms5,"RT @VzlaDinamica: Pareciera q la del turbante fuese jefe de campaña d @FicoGutierrez, eso de irse a tratar d pasar 62 mil dólares en efecti…"
35,Guido52857051,"ÓÓÓTIMA !!
No programa de sábado, na Globo News, a comentarista Cristiana Lôbo : Lula confessou aos amigos que quer ser lembrado pelo seu 2º mandato como um grande estadista, tal como Getúlio Vargas.' idéia parece excelente mas, o que nós queremos saber é: QUANDO SERÁ O SUICÍDIO."
36,hxrrykane,roni titular em libertadores automaticamente penso em suicídio
37,nedpogg,"Venho anunciar o fim de minha carreira na internet
Suicidio vem forte👍"
38,alv3x_,"eu sei que suicidio é pecado, mas como eu queria pecar."
39,70_avelino,RT @HelenaVillarRT: Casi todo lo que hay que entender sobre Estados Unidos y su suicidio colectivo (que puede ser el de Europa) está en est…
40,VerdaMongeta,"RT @ma_segov: Belleza femenina, enfermedad y estetización de la muerte.
¿Qué tienen en común la Ofelia de Everett Millais y el heroin chic…"
41,GriARebeca,"RT @JMporKiraLopez: https://t.co/VaoKYKY621 firma por favor y comparte. Un día como hoy,Kira saltó al vacío para no ir a su colegio el #Man…"
42,rafaabrl,"@notsoweI welen não aguento mais suas cartas de suicídio, vou agir!!!!!!"
43,aroacastro_,"RT @ma_segov: Belleza femenina, enfermedad y estetización de la muerte.
¿Qué tienen en común la Ofelia de Everett Millais y el heroin chic…"
44,TheShortShorts1,"RT @GabineteForte: Crímen Scientia; Tiziana Cantone,  Toda la Verdad Sobre Su Horrible Suicidio https://t.co/Cod2sTkGqn https://t.co/a8TCEU…"
45,MindlessMidas_,suicídio adiado por causa dela
46,Egnova1,"RT @ma_segov: Belleza femenina, enfermedad y estetización de la muerte.
¿Qué tienen en común la Ofelia de Everett Millais y el heroin chic…"
47,Soy_A_Negativo,@LaMiss_Michy1 @georgepelon83 @BRBPin @juanfer48 @gabyvp87 Disculpe Miss usted cómo una madre virtual debería aceptar a sus críos y dejar de pensar en el suicidio 😑😒
48,luangoesss,"@laryverissimo teu deus deve estar orgulhoso de vc, incentivando o suicídio kkkkkkkkkkkk hipocrita"
49,CommieGayGirl,Odeio linhas de suicidio odeio linhas de suicidio odeio linhas de suicidio https://t.co/PukDLnRBmn
